rise,down,freq,ma_window,total_return,yearly_vol,maxdrawdown,sharpe,max_loss_period,hold_time,start_date,end_date
0.09,-0.085,30.0,100,2.5392138586826367,1.0165113767868361,1.3159643599423378,1.2887048304184574,1.559189497716895,1.9383561643835616,2020-01-01,2022-07-31
0.065,-0.085,30.0,50,2.5369754365235653,0.8179663342650109,0.7736378364864676,1.493661682516424,1.250970319634703,2.07648401826484,2020-01-01,2022-07-31
0.05,-0.085,30.0,100,2.5319800851968477,0.7850111359116683,0.7736378364864671,1.9009359614977375,1.1626141552511415,1.6967465753424658,2020-01-01,2022-07-31
0.08,-0.075,15.0,50,2.531496234595643,0.8706850362920723,0.9420361615957331,1.3107322473231127,1.5591609589041096,2.2182077625570775,2020-01-01,2022-07-31
0.065,-0.065,15.0,50,2.5294984647632637,0.7258287872511449,0.7143853894966461,1.7070719193460062,0.6707762557077626,2.0414954337899545,2020-01-01,2022-07-31
0.045,-0.08,15.0,50,2.524663144027598,0.756655510895385,0.5844602303052308,1.6238837565558604,0.6833904109589041,2.054708904109589,2020-01-01,2022-07-31
0.065,-0.03,30.0,50,2.522430463912002,0.6828459353923304,0.5050277929846643,1.9104058172994651,0.6483447488584475,1.933618721461187,2020-01-01,2022-07-31
0.01,-0.075,30.0,50,2.521385534479024,0.6763083542116455,0.4491627101633513,2.0842860909259855,0.6182648401826484,1.7886986301369863,2020-01-01,2022-07-31
0.055,-0.07,15.0,100,2.514386311935271,0.6865320981942995,0.454518373767152,2.2170179865250264,0.6517123287671233,1.6519691780821917,2020-01-01,2022-07-31
0.065,-0.1,30.0,50,2.5124192082525725,0.8955379265545743,0.9746734247028668,1.3150364271125634,1.382876712328767,2.133390410958904,2020-01-01,2022-07-31
0.05,-0.07,15.0,100,2.5102672833528032,0.6950934229852743,0.5329316878954922,2.195454529220786,0.6836187214611872,1.6449486301369862,2020-01-01,2022-07-31
0.04,-0.07,15.0,50,2.5086196366498985,0.719434514441323,0.5504272416984181,1.7659437629467003,0.6693778538812786,1.9745433789954336,2020-01-01,2022-07-31
0.05,-0.09,30.0,50,2.5074538010779626,0.8184490098848115,0.7736378364864676,1.5080329111578719,0.763013698630137,2.031563926940639,2020-01-01,2022-07-31
0.06,-0.075,15.0,100,2.5066243204464245,0.7229557482894555,0.5490295103474678,1.9661807335730106,0.6693778538812786,1.7634132420091324,2020-01-01,2022-07-31
0.04,-0.07,30.0,50,2.504403853656877,0.704837090692816,0.5928512647073966,1.7908942724720898,0.6837899543378996,1.9840182648401825,2020-01-01,2022-07-31
0.05,-0.075,30.0,200,2.5031017905691315,0.7974894584773554,0.9752683537817204,2.0548745983979626,1.559189497716895,1.5274543378995433,2020-01-01,2022-07-31
0.045,-0.065,30.0,50,2.503033004324147,0.7165386508464271,0.6480873334865102,1.7769397144005177,0.681107305936073,1.9658675799086758,2020-01-01,2022-07-31
0.05,-0.09,15.0,50,2.4991788517128697,0.8356592248692944,0.6771541344813587,1.5011601508247727,0.7192922374429224,1.9922374429223744,2020-01-01,2022-07-31
0.06,-0.07,15.0,100,2.493888386413111,0.6954163848155016,0.5490295103474732,2.09042703615354,0.6508847031963471,1.715525114155251,2020-01-01,2022-07-31
0.075,-0.07,15.0,50,2.4889173586864404,0.791595651377967,0.6791538463844511,1.4384267942293703,0.7128139269406393,2.1858447488584476,2020-01-01,2022-07-31
0.095,-0.1,30.0,200,2.483867352649298,1.1969307243059935,2.175812287135363,1.1455857798492395,1.559189497716895,1.8114726027397259,2020-01-01,2022-07-31
0.09,-0.1,30.0,200,2.483867352649298,1.1969307243059935,2.175812287135363,1.1455857798492395,1.559189497716895,1.8114726027397259,2020-01-01,2022-07-31
0.055,-0.085,30.0,100,2.48240534054455,0.7851861415103959,0.7736378364864671,1.8620485466251306,1.25,1.6978881278538813,2020-01-01,2022-07-31
